time,src,dst,proto,sport,dport,len
2026-04-25 17:04:12,192.168.0.36,224.0.0.251,UDP,5353,5353,230
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,83
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,345
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,347
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,107
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,63
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,112
2026-04-25 17:04:12,192.168.0.42,62.252.188.184,UDP,61171,443,73
2026-04-25 17:04:12,192.168.0.42,62.252.188.184,UDP,61171,443,73
2026-04-25 17:04:12,62.252.188.184,192.168.0.42,UDP,443,61171,67
2026-04-25 17:04:12,192.168.0.42,62.252.188.184,UDP,61171,443,74
2026-04-25 17:04:12,192.168.0.36,224.0.0.251,UDP,5353,5353,137
2026-04-25 17:04:12,192.168.0.42,213.104.24.96,TCP,56905,443,146
2026-04-25 17:04:12,192.168.0.42,213.104.24.96,TCP,56905,443,739
2026-04-25 17:04:12,192.168.0.36,224.0.0.251,UDP,5353,5353,351
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,56
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,56
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,115
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,85
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,750
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,85
2026-04-25 17:04:12,192.168.0.42,213.104.24.96,TCP,56905,443,54
2026-04-25 17:04:12,192.168.0.42,192.168.0.36,TCP,59049,62078,66
2026-04-25 17:04:12,192.168.0.42,213.104.24.96,TCP,56905,443,85
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59049,66
2026-04-25 17:04:12,192.168.0.42,192.168.0.36,TCP,59051,62078,66
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59051,66
2026-04-25 17:04:12,192.168.0.42,192.168.0.36,TCP,59051,62078,54
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59051,54
2026-04-25 17:04:12,192.168.0.42,192.168.0.36,TCP,59051,62078,342
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59051,54
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59051,58
2026-04-25 17:04:12,213.104.24.96,192.168.0.42,TCP,443,56905,56
2026-04-25 17:04:12,192.168.0.42,192.168.0.36,TCP,59051,62078,54
2026-04-25 17:04:12,192.168.0.36,192.168.0.42,TCP,62078,59051,351
