time,src,dst,proto,sport,dport,len
2026-05-01 23:34:01,192.168.0.10,239.255.255.250,UDP,60904,1900,366
2026-05-01 23:34:01,192.168.0.10,239.255.255.250,UDP,57767,1900,422
2026-05-01 23:34:01,192.168.0.10,239.255.255.250,UDP,52525,1900,375
2026-05-01 23:34:02,192.168.0.10,239.255.255.250,UDP,49709,1900,432
2026-05-01 23:34:02,192.168.0.10,239.255.255.250,UDP,35325,1900,420
2026-05-01 23:34:02,192.168.0.10,239.255.255.250,UDP,59319,1900,430
2026-05-01 23:34:02,192.168.0.36,192.168.0.42,TCP,62078,51234,66
2026-05-01 23:34:02,2.21.6.194,192.168.0.42,UDP,443,57299,73
2026-05-01 23:34:02,192.168.0.42,2.21.6.194,UDP,57299,443,74
2026-05-01 23:34:02,82.20.175.139,192.168.0.42,UDP,443,54976,73
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,62267,443,1494
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,62267,443,896
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,62267,443,1062
2026-05-01 23:34:02,192.168.0.42,82.20.175.139,UDP,54976,443,74
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,62267,54
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,62267,56
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,66
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,66
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,54
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,982
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,56
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,1514
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,1514
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,54
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,1514
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,1514
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,1514
2026-05-01 23:34:02,13.107.137.11,192.168.0.42,TCP,443,50348,998
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,54
2026-05-01 23:34:02,192.168.0.42,13.107.137.11,TCP,50348,443,134
