time,src_ip,dst_ip,protocol
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,3.225.55.102,TCP
2025-10-27 14:59:41,10.8.53.98,3.225.55.102,TCP
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,3.225.55.102,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,3.225.55.102,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,3.225.55.102,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,10.8.53.98,3.225.55.102,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,54.167.7.141,10.8.53.98,TCP
2025-10-27 14:59:41,54.167.7.141,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,54.167.7.141,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:41,13.217.255.81,10.8.53.98,TCP
2025-10-27 14:59:41,10.8.53.98,13.217.255.81,TCP
2025-10-27 14:59:42,10.8.53.98,52.111.236.18,TCP
2025-10-27 14:59:42,10.8.53.98,194.81.203.50,UDP
2025-10-27 14:59:42,194.81.203.50,10.8.53.98,UDP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
2025-10-27 14:59:42,52.111.236.18,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,52.111.236.18,TCP
2025-10-27 14:59:42,44.196.34.140,10.8.53.98,TCP
2025-10-27 14:59:42,44.196.34.140,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,44.196.34.140,TCP
2025-10-27 14:59:42,10.8.53.98,172.187.86.73,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
2025-10-27 14:59:42,172.187.86.73,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,172.187.86.73,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,20.189.173.6,10.8.53.98,TCP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
2025-10-27 14:59:42,10.8.53.98,20.189.173.6,TCP
